well;initial_depth;final_depth;label
9OGX44HPRJS;1532;1547;1
9OGX44HPRJS;1547;1568;2
9OGX44HPRJS;1568;1579;2
9OGX44HPRJS;1579;1587;3
9OGX44HPRJS;1587;1612;3
9OGX44HPRJS;1612;1616;2
9OGX44HPRJS;1616;1623;4
9OGX44HPRJS;1623;1627;2
9OGX44HPRJS;1627;1641;5
9OGX44HPRJS;1641;1649;4
9OGX44HPRJS;1649;1654;5
9OGX44HPRJS;1654;1662;4
9OGX44HPRJS;1662;1682;4
9OGX44HPRJS;1682;1687;3
9OGX44HPRJS;1687;1697;4
9OGX44HPRJS;1697;1705;3
9OGX44HPRJS;1705;1710;3
9OGX44HPRJS;1710;1715;5
9OGX44HPRJS;1715;1721;2
